fechahora , ENEL GREEN POWER PERU S.A. -WAYRAI, ENERGÍA EÓLICA S.A. -EOLICO_CUPISNIQUE, ENERGÍA EÓLICA S.A. -EOLICO_TALARA, PARQUE EOLICO MARCONA S.A.C. -EOLICO_MARCONA, PARQUE EOLICO TRES HERMANAS S.A.C. -EOLICO_3HERMANAS
01/04/2020 00:15, 6.414520, 7.037430, 2.301470, 26.843520, 51.906490
01/04/2020 00:30, 13.233180, 11.147550, 3.957660, 24.698970, 49.249070
01/04/2020 00:45, 15.796220, 9.262770, 15.702280, 20.921940, 38.1687
01/04/2020 01:00, 15.736910, 7.649720, 13.178330, 19.298490, 35.363330
01/04/2020 01:15, 12.245950, 8.518440, 13.9271, 17.139860, 27.067220
01/04/2020 01:30, 8.445730, 8.252660, 11.327790, 16.071470, 29.982730
01/04/2020 01:45, 5.191610, 8.977480, 13.386990, 13.258180, 27.946150
01/04/2020 02:00, 1.479950, 8.075030, 12.459550, 20.429580, 35.226790
01/04/2020 02:15, 0.229790, 8.164730, 9.374240, 24.501420, 38.712740
01/04/2020 02:30, 3.437830, 7.8626, 5.056970, 15.812790, 37.789990
01/04/2020 02:45, 7.335350, 7.420620, 8.681080, 17.922070, 31.781610
01/04/2020 03:00, 13.437750, 3.181410, 14.318010, 19.328080, 32.2111
01/04/2020 03:15, 17.928040, 4.305580, 19.156840, 17.081560, 27.706470
01/04/2020 03:30, 14.285020, 4.223580, 8.911090, 20.167890, 28.553420
01/04/2020 03:45, 4.880150, 0.505450, 3.533820, 22.760070, 25.332410
01/04/2020 04:00, 1.609650, 0.149310, 2.569810, 21.653180, 25.9581
01/04/2020 04:15, 0, 1.282170, 4.425950, 19.843550, 20.211190
01/04/2020 04:30, 0.6213, 0.723510, 2.183050, 21.157890, 24.320450
01/04/2020 04:45, 1.584240, 0, 1.541530, 21.4516, 34.726860
01/04/2020 05:00, 0.036750, 0, 0.486940, 18.661720, 28.448390
01/04/2020 05:15, 0, 0, 0.034540, 14.275920, 27.112520
01/04/2020 05:30, 0, 0, 0.4922, 17.508230, 35.965040
01/04/2020 05:45, 1.415550, 0, 0.222210, 18.154920, 42.140650
01/04/2020 06:00, 7.939740, 0.006930, 0.150470, 11.1150, 20.783430
01/04/2020 06:15, 8.731750, 0.651750, 1.175780, 10.700990, 22.815080
01/04/2020 06:30, 3.322910, 0, 2.393520, 12.595730, 26.040970
01/04/2020 06:45, 0.539410, 1.918760, 2.1519, 7.938730, 16.845580
01/04/2020 07:00, 0, 0.651390, 3.226980, 5.877790, 16.703490
01/04/2020 07:15, 0, 0.8347, 2.681470, 3.120940, 10.133150
01/04/2020 07:30, 0.049990, 0, 1.8731, 3.726720, 9.846220
01/04/2020 07:45, 0, 0, 1.8546, 5.667480, 13.948010
01/04/2020 08:00, 0, 0, 1.806170, 5.100390, 15.816580
01/04/2020 08:15, 0, 0, 1.448260, 4.842040, 11.144090
01/04/2020 08:30, 0, 0, 0.499750, 4.419610, 11.558380
01/04/2020 08:45, 0, 0, 0, 4.688510, 12.373580
01/04/2020 09:00, 0, 0, 0, 9.165550, 21.725550
01/04/2020 09:15, 0, 1.015950, 0, 15.002820, 36.773430
01/04/2020 09:30, 0, 0.046350, 0, 11.926810, 31.912770
01/04/2020 09:45, 0, 0, 0, 11.693770, 29.935540
01/04/2020 10:00, 0, 0.482970, 0, 15.341460, 41.907740
01/04/2020 10:15, 0, 1.775190, 0, 22.289850, 66.467210
01/04/2020 10:30, 0.709520, 3.569490, 0, 26.822780, 74.734160
01/04/2020 10:45, 5.418270, 4.3029, 0, 28.749820, 76.6745
01/04/2020 11:00, 7.340650, 6.805050, 0, 29.577150, 79.834770
01/04/2020 11:15, 9.397440, 11.857160, 0, 29.7723, 78.727510
01/04/2020 11:30, 9.908330, 15.836170, 0.313220, 27.400050, 83.379630
01/04/2020 11:45, 28.243040, 12.663110, 0, 30.185360, 86.328020
01/04/2020 12:00, 74.192620, 16.795740, 0.823530, 30.775890, 86.5317
01/04/2020 12:15, 100.340270, 19.794610, 1.969650, 30.6055, 86.460840
01/04/2020 12:30, 117.449840, 24.369550, 3.417360, 27.041360, 83.892850
01/04/2020 12:45, 121.063850, 33.677810, 3.121910, 27.437060, 81.578480
01/04/2020 13:00, 122.710850, 34.915170, 3.281140, 27.508170, 86.961870
01/04/2020 13:15, 122.877060, 33.657260, 1.8440, 28.082980, 89.744340
01/04/2020 13:30, 118.112620, 36.765460, 3.308920, 29.812730, 86.649270
01/04/2020 13:45, 116.2928, 37.656420, 2.304960, 28.585550, 87.705870
01/04/2020 14:00, 113.496950, 32.0182, 2.041590, 30.630910, 86.349380
01/04/2020 14:15, 114.853320, 34.957210, 1.816330, 30.833460, 86.3737
01/04/2020 14:30, 115.518340, 27.557310, 3.227930, 31.701180, 89.187620
01/04/2020 14:45, 121.116340, 26.9087, 3.461870, 32.007330, 91.074910
01/04/2020 15:00, 126.690380, 37.302650, 1.858480, 32.108620, 91.442350
01/04/2020 15:15, 127.212940, 41.3237, 2.452140, 31.6973, 91.359710
01/04/2020 15:30, 127.2403, 40.790760, 1.954550, 31.800630, 90.2739
01/04/2020 15:45, 126.654440, 31.808440, 1.184360, 32.129860, 89.589240
01/04/2020 16:00, 126.861090, 33.625030, 0.494740, 31.7978, 89.963560
01/04/2020 16:15, 127.237060, 33.389150, 1.296290, 31.935860, 91.309030
01/04/2020 16:30, 127.233590, 34.234120, 2.275420, 31.716130, 90.158630
01/04/2020 16:45, 127.213390, 33.6623, 1.238320, 31.775190, 91.169070
01/04/2020 17:00, 127.138830, 38.701720, 0.145930, 31.830620, 91.404020
01/04/2020 17:15, 127.0577, 36.672470, 0.364990, 31.847780, 91.655950
01/04/2020 17:30, 127.129250, 29.778370, 0.592130, 31.837790, 91.030240
01/04/2020 17:45, 127.152550, 28.965370, 0.670730, 31.974380, 90.795820
01/04/2020 18:00, 127.154190, 28.366210, 0.717490, 31.931960, 91.521130
01/04/2020 18:15, 127.108350, 24.540050, 2.235720, 32.033940, 91.375140
01/04/2020 18:30, 126.189150, 19.327170, 2.715710, 31.7160, 91.5802
01/04/2020 18:45, 125.174380, 18.623410, 4.148870, 32.041150, 91.431630
01/04/2020 19:00, 127.069660, 19.174940, 1.579460, 32.040290, 91.969640
01/04/2020 19:15, 126.906760, 13.814230, 0.682770, 31.889120, 91.2840
01/04/2020 19:30, 122.0501, 13.665670, 0, 32.077660, 91.524380
01/04/2020 19:45, 109.561550, 20.251470, 0.463550, 31.642050, 91.369470
01/04/2020 20:00, 84.286880, 29.584830, 0, 31.844490, 89.830720
01/04/2020 20:15, 71.435730, 30.209970, 0, 31.581730, 90.408750
01/04/2020 20:30, 88.525020, 23.475170, 0, 31.916720, 91.0068
01/04/2020 20:45, 102.0324, 24.334880, 0.474590, 32.100760, 91.344770
01/04/2020 21:00, 106.6162, 22.676140, 2.504650, 31.869960, 91.123230
01/04/2020 21:15, 110.294270, 14.584090, 1.991490, 32.025550, 91.044380
01/04/2020 21:30, 115.281120, 15.865050, 1.815340, 32.032980, 90.791480
01/04/2020 21:45, 121.095680, 16.599640, 3.208760, 31.878520, 91.524190
01/04/2020 22:00, 125.693660, 12.153070, 3.443550, 32.009470, 91.187450
01/04/2020 22:15, 122.154020, 9.310350, 2.661780, 32.134360, 89.663050
01/04/2020 22:30, 119.1956, 9.1740, 1.784460, 31.772110, 90.143660
01/04/2020 22:45, 119.2997, 8.749430, 1.523930, 31.975160, 89.305720
01/04/2020 23:00, 100.704920, 7.741170, 3.8215, 31.9894, 89.473020
01/04/2020 23:15, 67.612680, 10.391410, 3.161630, 32.086640, 88.303080
01/04/2020 23:30, 52.111220, 13.988350, 2.6693, 32.026620, 88.091970
