fechahora , ENEL GREEN POWER PERU S.A. -RUBI_CIRCUITO_1-5, ENEL GREEN POWER PERU S.A. -RUBI_CIRCUITO_6-10, ENGIE -INTIPAMPA_SOLAR, GTS MAJES S.A.C -GTSMAJES, GTS REPARTICION S.A.C. -GTSREPAR, MOQUEGUA FV S.A.C. -MOQUEGUA_SOLAR, PANAMERICANA  SOLAR SAC. -PANAM_SOLAR, TACNA SOLAR SAC. -TACNA_SOLAR
01/04/2020 00:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 00:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 00:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:00, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:00, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 03:00, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 03:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 03:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 03:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 04:00, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 04:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 04:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 04:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 05:00, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 05:15, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 05:30, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 05:45, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 06:00, 0.122560, 0.157180, 0.122470, 0, 0, 0, 0, 0.147080
01/04/2020 06:15, 1.283880, 1.414910, 1.112450, 0.0172, 0.173560, 0.089650, 0.0348, 0.683770
01/04/2020 06:30, 6.004050, 6.041880, 2.9325, 0.5684, 0.8185, 0.363820, 0.450080, 0.72
01/04/2020 06:45, 14.478020, 15.147380, 8.258280, 1.3348, 1.588890, 0.641610, 0.813820, 1.294040
01/04/2020 07:00, 28.164790, 28.266950, 11.831520, 2.4604, 3.321470, 1.042730, 1.383520, 1.6202
01/04/2020 07:15, 35.824750, 36.969550, 16.669470, 3.4908, 4.032170, 1.925190, 2.338260, 1.212230
01/04/2020 07:30, 48.083630, 50.766240, 20.0624, 4.0944, 2.863070, 2.774430, 3.751940, 1.393090
01/04/2020 07:45, 57.814180, 58.779980, 25.7272, 4.3716, 3.821210, 3.431820, 7.513780, 2.122040
01/04/2020 08:00, 62.3172, 65.721410, 29.447310, 4.9008, 6.148950, 4.640360, 8.998470, 4.709870
01/04/2020 08:15, 63.293510, 66.853550, 32.485140, 8.8044, 10.114530, 8.305990, 8.133870, 12.173340
01/04/2020 08:30, 64.1777, 67.817010, 28.552270, 11.4416, 10.6647, 9.429620, 15.650750, 8.600650
01/04/2020 08:45, 66.279770, 70.118120, 32.245520, 11.9780, 10.838810, 14.341890, 16.898740, 5.687780
01/04/2020 09:00, 67.533070, 71.121550, 34.888590, 12.6272, 6.766850, 14.562630, 15.750510, 6.651970
01/04/2020 09:15, 67.645150, 71.474630, 35.131260, 13.2956, 7.075760, 13.084650, 17.141190, 8.805350
01/04/2020 09:30, 67.575680, 70.828350, 35.228410, 14.2572, 13.275330, 14.856160, 17.050720, 11.927910
01/04/2020 09:45, 66.966450, 71.2448, 35.322410, 14.9344, 15.541560, 14.608150, 17.003590, 9.837430
01/04/2020 10:00, 68.030090, 71.793080, 35.556870, 15.7120, 15.6707, 14.611340, 17.081260, 14.656550
01/04/2020 10:15, 67.112130, 70.679580, 35.905350, 16.2116, 14.261030, 14.715740, 17.173050, 13.061330
01/04/2020 10:30, 67.853050, 71.726120, 35.389360, 13.7708, 15.910690, 14.761520, 17.148750, 15.311810
01/04/2020 10:45, 67.948260, 71.723810, 36.176060, 16.6304, 17.390170, 14.742590, 16.571080, 17.542090
01/04/2020 11:00, 68.200550, 71.928010, 35.4849, 17.4864, 17.090730, 14.325670, 17.079760, 17.110710
01/04/2020 11:15, 68.291820, 72.064830, 36.485510, 18.2584, 17.9004, 14.787340, 16.499390, 16.956810
01/04/2020 11:30, 68.279390, 72.011590, 33.229930, 18.26, 18.004540, 14.2748, 17.159390, 16.9713
01/04/2020 11:45, 68.235270, 72.084530, 29.268680, 18.5864, 18.1914, 14.8655, 17.065970, 17.106850
01/04/2020 12:00, 67.431270, 71.475730, 38.165570, 18.5772, 18.198430, 14.683880, 16.695260, 16.695470
01/04/2020 12:15, 67.470260, 71.198990, 37.316440, 18.4404, 18.269270, 14.778710, 17.1439, 16.5025
01/04/2020 12:30, 67.503630, 71.944470, 29.584580, 18.3664, 18.3048, 15.035840, 17.128940, 16.422340
