fechahora , AGRO INDUSTRIAL PARAMONGA -PARAMONGA, AGROAURORA S.A.C. -MAPLETANOL, AGROINDUSTRIAS SAN JACINTO S.A.A. -SANJACINTO_G1, BIOENERGIA DEL CHIRA S.A. -CTCBRAVA_G1, BIOENERGIA DEL CHIRA S.A. -CTCBRAVA_G2, EGASA -CHILINATV, EGASA -CHILSULZ1, EGASA -CHILSULZ2, EGASA -MOLLMIR1, EGASA -MOLLMIR2, EGASA -MOLLMIR3, EGASA -PISCOTG1, EGASA -PISCOTG2, EGESUR -INDEP_G1, EGESUR -INDEP_G2, EGESUR -INDEP_G3, EGESUR -INDEP_G4, ELECTROPERU -TUMB_MAK1, ELECTROPERU -TUMB_MAK2, ENEL GENERACION PERU S.A.A. -WEST7, ENEL GENERACION PERU S.A.A. -UTI5, ENEL GENERACION PERU S.A.A. -UTI6, ENEL GENERACION PERU S.A.A. -SROSA_TG8, ENEL GENERACION PERU S.A.A. -VENT3, ENEL GENERACION PERU S.A.A. -VENT4, ENEL GENERACION PERU S.A.A. -VENTTV, ENEL GENERACION PIURA S.A. -MALACAS1_TG6, ENEL GENERACION PIURA S.A. -MALACAS4, ENEL GENERACION PIURA S.A. -MALACAS_TG5, ENGIE -CHILCA1TG1, ENGIE -CHILCA1TG2, ENGIE -CHILCA1TG3, ENGIE -CHILCA_TV, ENGIE -CHILCA1_TG41, ENGIE -CHILCA2_TV, ENGIE -ILO2TV21, ENGIE -NEPI_TG41, ENGIE -NEPI_TG42, ENGIE -NEPI_TG43, ENGIE -PLANTA_ILO_TG1, ENGIE -PLANTA_ILO_TG2, ENGIE -PLANTA_ILO_TG3, FENIX POWER PERÚ -FENIXTG11, FENIX POWER PERÚ -FENIXTG12, FENIX POWER PERÚ -FENIXTV10, INFRAESTRUCTURA Y ENERGIAS DEL PERU -RFPTOMALD_G1, INFRAESTRUCTURA Y ENERGIAS DEL PERU -RFPUCALLPA_G1, KALLPA GENERACION S.A. -KALLPATG1, KALLPA GENERACION S.A. -KALLPATG2, KALLPA GENERACION S.A. -KALLPATG3, KALLPA GENERACION S.A. -KALLPATV, KALLPA GENERACION S.A. -FLORESTG1, MINERA CERRO VERDE -CTRECKA_G1, PETRAMAS -HUAY_G1, PETRAMAS -HUAY_G2, PETRAMAS -HUAY_G3, PETRAMAS -LAGRINGAV_G1, PETRAMAS -LAGRINGAV_G2, PETRAMAS -DONACATALINA_G1, PETRAMAS -DONACATALINA_G2, PLANTA DE RESERVA FRIA DE GENERACION  DE ETEN S.A. -PLANTA_ETEN_G1, PLANTA DE RESERVA FRIA DE GENERACION  DE ETEN S.A. -RFETENG2, SAMAY I S.A. -PTO_BRVO_TG1, SAMAY I S.A. -PTO_BRVO_TG2, SAMAY I S.A. -PTO_BRVO_TG3, SAMAY I S.A. -PTO_BRVO_TG4, SDF ENERGIA -OQUENDOG1, SHOUGESA -SHONANCUMM, SHOUGESA -SNICTV1, SHOUGESA -SNICTV2, SHOUGESA -SNICTV3, TERMOCHILCA -OLLEROSTG1, TERMOCHILCA -OLLEROSTV, TERMOSELVA -AGE_G1, TERMOSELVA -AGE_G2
01/04/2020 00:15, 13.051250, 0, 8.2620, 7.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.165950, 0, 0, 0, 0, 0, 0, 0, 1.3561, 0, 1.4068, 1.3514, 1.3023, 1.2035, 1.2026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 00:30, 13.157180, 0, 8.2590, 8.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.981410, 0, 0, 0, 0, 0, 0, 0, 1.3559, 0, 1.4066, 1.3514, 1.3018, 1.2033, 1.2023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 00:45, 13.099670, 0, 8.3270, 7.8750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.830090, 0, 0, 0, 0, 0, 0, 0, 1.3561, 0, 1.4068, 1.3515, 1.3024, 1.2041, 1.2027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:00, 13.097020, 0, 8.1470, 7.3750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.691360, 0, 0, 0, 0, 0, 0, 0, 1.3559, 0, 1.4066, 1.3518, 1.3019, 1.2033, 1.2025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:15, 13.099440, 0, 7.9540, 7.8750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5752, 0, 0, 0, 0, 0, 0, 0, 1.3559, 0, 1.4067, 1.3519, 1.3023, 1.2033, 1.2024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:30, 13.096040, 0, 8.0260, 7.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.483340, 0, 0, 0, 0, 0, 0, 0, 1.3562, 0, 1.4067, 1.3519, 1.3023, 1.2037, 1.2027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 01:45, 13.040610, 0, 7.8690, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.421590, 0, 0, 0, 0, 0, 0, 0, 1.3560, 0, 1.4068, 1.3518, 1.3021, 1.2035, 1.2025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:00, 13.102750, 0, 7.9160, 7.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.357920, 0, 0, 0, 0, 0, 0, 0, 1.3559, 0, 1.4067, 1.3516, 1.3020, 1.2035, 1.2024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:15, 12.463710, 0, 7.4410, 8.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.285220, 0, 0, 0, 0, 0, 0, 0, 1.3560, 0, 1.4068, 1.3519, 1.3021, 1.2034, 1.2022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01/04/2020 02:30, 12.825250, 0, 7.6870, 7.8750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.256570, 0, 0, 0, 0, 0, 0, 0, 1.3561, 0, 1.4068, 1.3518, 1.3025, 1.2036, 1.2026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
