fechahora , AGRO INDUSTRIAL PARAMONGA -PARAMONGA, AGROAURORA S.A.C. -MAPLETANOL, AGROINDUSTRIAS SAN JACINTO S.A.A. -SANJACINTO_G1, BIOENERGIA DEL CHIRA S.A. -CTCBRAVA_G1, BIOENERGIA DEL CHIRA S.A. -CTCBRAVA_G2, EGASA -CHILINATV, EGASA -CHILSULZ1, EGASA -CHILSULZ2, EGASA -MOLLMIR1, EGASA -MOLLMIR2, EGASA -MOLLMIR3, EGASA -PISCOTG1, EGASA -PISCOTG2, EGESUR -INDEP_G1, EGESUR -INDEP_G2, EGESUR -INDEP_G3, EGESUR -INDEP_G4, ELECTROPERU -TUMB_MAK1, ELECTROPERU -TUMB_MAK2, ENEL GENERACION PERU S.A.A. -WEST7, ENEL GENERACION PERU S.A.A. -UTI5, ENEL GENERACION PERU S.A.A. -UTI6, ENEL GENERACION PERU S.A.A. -SROSA_TG8, ENEL GENERACION PERU S.A.A. -VENT3, ENEL GENERACION PERU S.A.A. -VENT4, ENEL GENERACION PERU S.A.A. -VENTTV, ENEL GENERACION PIURA S.A. -MALACAS1_TG6, ENEL GENERACION PIURA S.A. -MALACAS4, ENEL GENERACION PIURA S.A. -MALACAS_TG5, ENGIE -CHILCA1TG1, ENGIE -CHILCA1TG2, ENGIE -CHILCA1TG3, ENGIE -CHILCA_TV, ENGIE -CHILCA1_TG41, ENGIE -CHILCA2_TV, ENGIE -ILO2TV21, ENGIE -NEPI_TG41, ENGIE -NEPI_TG42, ENGIE -NEPI_TG43, ENGIE -PLANTA_ILO_TG1, ENGIE -PLANTA_ILO_TG2, ENGIE -PLANTA_ILO_TG3, FENIX POWER PERÚ -FENIXTG11, FENIX POWER PERÚ -FENIXTG12, FENIX POWER PERÚ -FENIXTV10, INFRAESTRUCTURA Y ENERGIAS DEL PERU -RFPTOMALD_G1, INFRAESTRUCTURA Y ENERGIAS DEL PERU -RFPUCALLPA_G1, KALLPA GENERACION S.A. -KALLPATG1, KALLPA GENERACION S.A. -KALLPATG2, KALLPA GENERACION S.A. -KALLPATG3, KALLPA GENERACION S.A. -KALLPATV, KALLPA GENERACION S.A. -FLORESTG1, MINERA CERRO VERDE -CTRECKA_G1, PETRAMAS -HUAY_G1, PETRAMAS -HUAY_G2, PETRAMAS -HUAY_G3, PETRAMAS -LAGRINGAV_G1, PETRAMAS -LAGRINGAV_G2, PETRAMAS -DONACATALINA_G1, PETRAMAS -DONACATALINA_G2, PLANTA DE RESERVA FRIA DE GENERACION  DE ETEN S.A. -PLANTA_ETEN_G1, PLANTA DE RESERVA FRIA DE GENERACION  DE ETEN S.A. -RFETENG2, SAMAY I S.A. -PTO_BRVO_TG1, SAMAY I S.A. -PTO_BRVO_TG2, SAMAY I S.A. -PTO_BRVO_TG3, SAMAY I S.A. -PTO_BRVO_TG4, SDF ENERGIA -OQUENDOG1, SHOUGESA -SHONANCUMM, SHOUGESA -SNICTV1, SHOUGESA -SNICTV2, SHOUGESA -SNICTV3, TERMOCHILCA -OLLEROSTG1, TERMOCHILCA -OLLEROSTV, TERMOSELVA -AGE_G1, TERMOSELVA -AGE_G2
01/03/2020 00:15, 0, 0, 6.3880, 7.52, 0.7120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.614170, 91.633370, 113.410250, 0, 41.408740, 0, 65.8358, 65.8206, 65.462130, 161.622640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.764610, 73.994070, 0, 0, 0, 0, 149.107110, 74.389950, 0, 0, 1.0028, 1.0065, 1.0032, 1.3491, 1.3001, 1.0084, 1.0085, 0, 0, 0, 0, 0, 0, 26.912230, 0, 0, 0, 0, 145.8540, 84.658930, 0, 0
01/03/2020 00:30, 0, 0, 6.8140, 8.5240, 0.3680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.562980, 91.589520, 113.465340, 0, 83.848330, 0, 62.783950, 62.663010, 62.410140, 145.365840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123.073560, 74.236990, 0, 0, 0, 0, 149.348970, 74.154810, 0, 0, 1.0030, 1.0067, 1.0032, 1.3488, 1.3008, 1.0084, 1.0085, 0, 0, 0, 0, 0, 0, 26.904850, 0, 0, 0, 0, 145.842520, 84.837130, 0, 0
01/03/2020 00:45, 0, 0, 7.8460, 9.1120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.567390, 91.599470, 113.469440, 0, 85.195490, 0, 60.822770, 60.758950, 61.038340, 139.227310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123.873030, 74.482450, 0, 0, 0, 0, 149.88, 74.478540, 0, 0, 1.0043, 1.0035, 1.0031, 1.3491, 1.3006, 1.0084, 1.0087, 0, 0, 0, 0, 0, 0, 26.8567, 0, 0, 0, 0, 145.834220, 84.8086, 0, 0
01/03/2020 01:00, 0, 0, 8.1260, 8.7040, 0.3160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.670140, 91.695210, 113.542980, 0, 85.104150, 0, 59.797080, 59.698730, 59.317380, 134.738860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123.303930, 74.480040, 0, 0, 0, 0, 149.572230, 74.363550, 0, 0, 1.0029, 1.0085, 1.0033, 1.3485, 1.3007, 1.0084, 1.0086, 0, 0, 0, 0, 0, 0, 26.811570, 0, 0, 0, 0, 145.840880, 84.714480, 0, 0
01/03/2020 01:15, 0, 0, 7.1960, 8.6760, 0.7040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.6877, 91.723980, 113.565850, 0, 85.0323, 0, 59.800060, 59.703420, 58.835320, 133.0530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.439480, 74.176330, 0, 0, 0, 0, 148.646380, 74.048470, 0, 0, 1.0031, 1.0028, 1.0033, 1.3487, 1.3001, 1.0084, 1.0085, 0, 0, 0, 0, 0, 0, 26.833140, 0, 0, 0, 0, 145.795840, 84.592020, 0, 0
01/03/2020 01:30, 0, 0, 7.6340, 8.9560, 0.9160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.695320, 91.735590, 113.516550, 0, 85.068040, 0, 59.805990, 59.701410, 59.029380, 132.596770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.608370, 74.191140, 0, 0, 0, 0, 148.804910, 74.059090, 0, 0, 1.0033, 1.0084, 1.0032, 1.3489, 1.3010, 1.0085, 1.0087, 0, 0, 0, 0, 0, 0, 26.878870, 0, 0, 0, 0, 145.857090, 84.618820, 0, 0
01/03/2020 01:45, 0, 0, 8.0460, 8.7760, 1.24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.715020, 91.753640, 113.522340, 0, 85.181410, 0, 59.809090, 59.706710, 58.611060, 132.075310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.125130, 74.067730, 0, 0, 0, 0, 148.3592, 74.052580, 0, 0, 1.0038, 1.0060, 1.0032, 1.3488, 1.3004, 1.0086, 1.0085, 0, 0, 0, 0, 0, 0, 26.897390, 0, 0, 0, 0, 145.817340, 84.567610, 0, 0
01/03/2020 02:00, 0, 0, 8.2420, 8.6840, 1.0160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.7166, 91.767230, 113.468650, 0, 85.181770, 0, 59.8340, 59.7062, 58.898130, 132.204610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.471020, 74.379130, 0, 0, 0, 0, 148.905860, 74.638630, 0, 0, 1.0039, 1.0033, 1.0032, 1.3486, 1.3009, 1.0085, 1.0087, 0, 0, 0, 0, 0, 0, 26.905840, 0, 0, 0, 0, 145.846780, 84.6261, 0, 0
01/03/2020 02:15, 0, 0, 8.1380, 8.3120, 1.1320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.762660, 91.806080, 113.355090, 0, 85.026130, 0, 59.849460, 59.699020, 58.585430, 132.089330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.034560, 74.136640, 0, 0, 0, 0, 148.170730, 74.4014, 0, 0, 1.0030, 1.0076, 1.0031, 1.3488, 1.2999, 1.0086, 1.0086, 0, 0, 0, 0, 0, 0, 26.946820, 0, 0, 0, 0, 145.834580, 84.783550, 0, 0
01/03/2020 02:30, 0, 0, 8.0420, 8.58, 1.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91.7522, 91.7972, 113.394950, 0, 85.054480, 0, 59.851660, 59.705140, 58.962160, 132.0427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122.511190, 73.926840, 0, 0, 0, 0, 148.475090, 74.080650, 0, 0, 1.0033, 1.0044, 1.0032, 1.3491, 1.3008, 1.0087, 1.0085, 0, 0, 0, 0, 0, 0, 26.987430, 0, 0, 0, 0, 145.823860, 84.8356, 0, 0
